, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,73.233970838233,1397.5949
1961-12-31,77.741969043148,1472.3858,2.6771
1962-12-31,81.247567647219,1525.7759,1.1029
1963-12-31,86.561965531025,1613.457,4.8744
1964-12-31,94.407562406909,1748.2882,5.5337
1965-12-31,101.82475945338,1873.5679,2.1422
1966-12-31,108.57275676633,1986.7472,1.5731
1967-12-31,113.11688212994,2058.7818,2.7865
1968-12-31,107.75991394293,1951.7587,5.4411
1969-12-31,116.46470699128,2100.6679,1.9241
1970-12-31,130.68229563712,2347.7302,6.68
1971-12-31,148.10660185714,2649.671,3.5047
1972-12-31,169.96908402849,3030.5047,4.3217
1973-12-31,192.55167695086,3426.5201,6.5238
1974-12-31,206.15236103054,3666.2361,-2.4844
1975-12-31,241.7346213123,4299.3541,-1.4736
1976-12-31,232.61044545654,4138.0947,2.9103
1977-12-31,263.07930661724,4681.6686,2.4578
1978-12-31,335.88007839985,5976.8857,4.2043
1979-12-31,439.0115808777,7805.0734,3.749
1980-12-31,564.95427686809,10032.1787,-2.0314
1981-12-31,540.72076115205,9598.5089,-0.7877
1982-12-31,515.00678027742,9145.3291,1.9949
1983-12-31,489.59976427982,8691.195,4.2219
1984-12-31,461.48300563835,8179.1219,2.2691
1985-12-31,489.25628122867,8651.7058,4.1474
1986-12-31,601.45500422165,10611.1537,3.1503
1987-12-31,745.1303383658,13118.0184,5.3927
1988-12-31,910.17103065768,15988.0165,5.7324
1989-12-31,926.92614322219,16240.0062,2.5776
1990-12-31,1093.213710428,19096.2412,0.7338
1991-12-31,1142.7662743982,19900.1885,-1.1031
1992-12-31,1179.7130149518,20488.0997,0.4011
1993-12-31,1061.4578836335,18390.2178,2.4898
1994-12-31,1140.4433110745,19708.4356,3.846
1995-12-31,1346.2520412105,23203.6289,2.5317
1996-12-31,1421.7119334862,24441.9199,1.9077
1997-12-31,1561.7151276352,26779.7788,4.5241
1998-12-31,1654.9966077082,28296.7603,3.1573
1999-12-31,1689.407711357,28788.9693,3.0141
2000-12-31,1666.0487670798,28289.6527,4.0927
2001-12-31,1648.765214387,27888.6051,2.1574
2002-12-31,1785.7813725539,30078.6081,1.7708
2003-12-31,2056.7045867366,34480.9411,3.1231
2004-12-31,2423.0473470285,40392.2649,2.345
2005-12-31,2544.8131661005,42131.8271,2.6683
2006-12-31,2709.978165671,44537.7123,2.1604
2007-12-31,3092.9964683872,50438.2296,2.5635
2008-12-31,2931.6837211868,47432.8791,-0.1543
2009-12-31,2417.5657099745,38820.0146,-4.5105
2010-12-31,2491.397494468,39693.1939,2.4301
2011-12-31,2666.4030050614,42150.6981,1.0676
2012-12-31,2706.3409670307,42485.5861,1.4485
2013-12-31,2786.31521525,43449.0917,1.8199
2014-12-31,3065.2232795838,47447.5889,3.1997
2015-12-31,2934.8579462135,45071.0743,2.3931
2016-12-31,2699.6596809972,41146.0774,2.1652
2017-12-31,2683.488510504,40622.6894,2.4436
2018-12-31,2878.1521473158,43306.3083,1.705
2019-12-31,2857.057847953,42747.0805,1.6043
2020-12-31,2704.6091600882,40318.4169,-11.0309
2021-12-31,3122.4803459245,46585.8976,7.5975
2022-12-31,3070.6677323592,45850.4261,4.1016
